video_ID,video_block,position,cross_ID,female_line,first_male,second_male,donor_males,cross_type,treatment,died,M_display,M_wingflaps,M_tapping,M_licking,cop_attempts,cop_success,latency,duration,time_spent_courting,courtship_effort,courtship_over_time
25,7,A1,67,B7_Malaysia,mel_GFP,A7_Taiwan,A7_Taiwan,MT,control,N,3,22,23,4,24,N,NA,NA,120,76,0.633333333
26,7,A2,71,A7_Taiwan,mel_GFP,A7_Taiwan,A7_Taiwan,TT,control,N,0,49,9,7,2,N,NA,NA,120,67,0.558333333
27,7,B2,73,A7_Taiwan,mel_GFP,B7_Malaysia,yak_S09_L38,TM,treatment,N,1,12,3,5,0,N,NA,NA,120,21,0.175
28,7,B1,74,A7_Taiwan,mel_GFP,B7_Malaysia,yak_S09_L38,TM,treatment,N,0,6,7,0,0,N,NA,NA,120,13,0.108333333
29,8,A2,113,A5_Greece,mel_GFP,A7_Taiwan,A7_Taiwan,GT,control,N,3,11,12,1,2,N,NA,NA,120,29,0.241666667
30,8,A1,115,B4_California,mel_GFP,A7_Taiwan,A7_Taiwan,CT,control,N,5,37,28,18,24,N,NA,NA,120,112,0.933333333
31,8,B2,117,A5_Greece,mel_GFP,A7_Taiwan,yak_S09_L38,GT,treatment,N,7,7,8,1,3,N,NA,NA,120,26,0.216666667
32,8,B1,119,A7_Taiwan,mel_GFP,A5_Greece,yak_S09_L38,TG,treatment,N,6,24,6,11,7,N,NA,NA,120,54,0.45
33,8,C2,120,B4_California,mel_GFP,A7_Taiwan,yak_S09_L38,CT,treatment,N,6,27,17,9,4,N,NA,NA,120,63,0.525
34,8,C1,121,A5_Greece,mel_GFP,A5_Greece,A5_Greece,GG,control,N,1,12,7,3,0,N,NA,NA,120,23,0.191666667
35,9,A2,129,B4_California,mel_GFP,B4_California,B4_California,CC,control,Y,NA,NA,NA,NA,NA,N,NA,NA,120,0,0
36,9,A1,130,B7_Malaysia,mel_GFP,B4_California,yak_S09_L38,MC,treatment,N,3,43,24,9,29,N,NA,NA,120,108,0.9
37,9,B2,131,A5_Greece,mel_GFP,A7_Taiwan,A7_Taiwan,GT,control,Y,NA,NA,NA,NA,NA,N,NA,NA,120,0,0
38,9,B1,132,A5_Greece,mel_GFP,B4_California,B4_California,GC,control,N,23,42,26,19,19,Y,76,24.2,76,129,1.697368421
39,9,C2,133,B7_Malaysia,mel_GFP,B4_California,B4_California,MC,control,N,4,33,29,17,31,N,NA,NA,120,114,0.95
